@relation chunk

@attribute pos_1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute pos1 {#, $, "''", (, ), ",", ., :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``}
@attribute chunk {B-ADJP, B-ADVP, B-CONJP, B-INTJ, B-LST, B-NP, B-PP, B-PRT, B-SBAR, B-UCP, B-VP, I-ADJP, I-ADVP, I-CONJP, I-INTJ, I-NP, I-PP, I-PRT, I-SBAR, I-UCP, I-VP, O}

@data
MD, VB, JJ, I-VP
VB, JJ, NNS, B-NP
JJ, NNS, RB, I-NP
NNS, RB, RB, B-CONJP
RB, RB, IN, I-CONJP
RB, IN, JJ, I-CONJP
IN, JJ, JJ, B-NP
JJ, JJ, NNS, I-NP
JJ, NNS, ",", I-NP
NNS, ",", DT, O
",", DT, IN, B-NP
DT, IN, WDT, B-PP
IN, WDT, VBP, B-NP
WDT, VBP, VBN, B-VP
VBP, VBN, VBN, I-VP
VBN, VBN, IN, I-VP
VBN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, VBG, B-PP
IN, VBG, NN, B-NP
VBG, NN, ., I-NP
NN, ., DT, O
., DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, DT, I-NP
NN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, VBZ, I-NP
NNS, VBZ, ",", B-VP
VBZ, ",", IN, O
",", IN, JJ, B-SBAR
IN, JJ, ",", B-ADJP
JJ, ",", TO, O
",", TO, VB, B-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, TO, I-NP
NN, TO, DT, B-PP
TO, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., CD, O
., CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, VBD, I-NP
NN, VBD, DT, B-VP
VBD, DT, NN, B-NP
DT, NN, DT, I-NP
NN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, POS, B-NP
NNS, POS, NNP, B-NP
POS, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", TO, O
",", TO, VB, B-VP
TO, VB, $, I-VP
VB, $, CD, B-NP
$, CD, CD, I-NP
CD, CD, IN, I-NP
CD, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, TO, I-NP
NNS, TO, VB, B-VP
TO, VB, NNS, I-VP
VB, NNS, IN, B-NP
NNS, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, NNP, I-NP
NN, NNP, NNP, I-NP
NNP, NNP, VBD, I-NP
NNP, VBD, ., B-VP
VBD, ., CC, O
., CC, IN, O
CC, IN, VBG, B-SBAR
IN, VBG, JJR, B-VP
VBG, JJR, NN, B-NP
JJR, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, MD, I-NP
NN, MD, VB, B-VP
MD, VB, NN, I-VP
VB, NN, TO, B-NP
NN, TO, VB, B-PP
TO, VB, NNS, B-NP
VB, NNS, ",", I-NP
NNS, ",", PRP, O
",", PRP, RB, B-NP
PRP, RB, VBZ, B-ADVP
RB, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, VBG, B-PP
IN, VBG, DT, B-VP
VBG, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, CC, I-NP
NN, CC, JJ, O
CC, JJ, NN, B-NP
JJ, NN, ., I-NP
NN, ., DT, O
., DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, VBN, B-VP
VBZ, VBN, VBN, I-VP
VBN, VBN, JJ, I-VP
VBN, JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, NNP, B-SBAR
IN, NNP, VBD, B-NP
NNP, VBD, VBG, B-VP
VBD, VBG, PRP$, I-VP
VBG, PRP$, VBN, B-NP
PRP$, VBN, NN, I-NP
VBN, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, ., B-NP
CD, ., CC, O
., CC, ",", O
CC, ",", IN, O
",", IN, NNP, B-SBAR
IN, NNP, POS, B-NP
NNP, POS, NNS, B-NP
POS, NNS, VBP, I-NP
NNS, VBP, VBN, B-VP
VBP, VBN, NNS, I-VP
VBN, NNS, TO, B-NP
NNS, TO, RB, B-VP
TO, RB, NN, I-VP
RB, NN, DT, I-VP
NN, DT, NN, B-NP
DT, NN, ",", I-NP
NN, ",", PRP, O
",", PRP, VBZ, B-NP
PRP, VBZ, JJ, B-VP
VBZ, JJ, TO, B-ADJP
JJ, TO, VB, B-VP
TO, VB, ",", I-VP
VB, ",", NNS, O
",", NNS, VBP, B-NP
NNS, VBP, ., B-VP
VBP, ., DT, O
., DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, POS, I-NP
NN, POS, NN, B-NP
POS, NN, ",", I-NP
NN, ",", VBD, O
",", VBD, IN, B-VP
VBD, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", VBZ, O
",", VBZ, IN, B-VP
VBZ, IN, JJ, B-SBAR
IN, JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, VBD, B-NP
NNP, VBD, $, B-NP
VBD, $, CD, B-NP
$, CD, CD, I-NP
CD, CD, ",", I-NP
CD, ",", DT, O
",", DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, RB, B-PP
IN, RB, CD, B-NP
RB, CD, NN, I-NP
CD, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, RBR, I-NP
NN, RBR, ., B-ADVP
RBR, ., NN, O
., NN, VBD, B-NP
NN, VBD, IN, B-VP
VBD, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ",", I-NP
NNS, ",", VBG, O
",", VBG, NNP, B-PP
VBG, NNP, CC, B-NP
NNP, CC, NNP, I-NP
CC, NNP, ",", I-NP
NNP, ",", CD, O
",", CD, JJ, B-NP
CD, JJ, JJ, I-NP
JJ, JJ, NNS, I-NP
JJ, NNS, ",", I-NP
NNS, ",", CC, O
",", CC, NNP, O
CC, NNP, ",", B-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, POS, I-NP
NN, POS, JJ, B-NP
POS, JJ, NN, I-NP
JJ, NN, ., I-NP
NN, ., NN, O
., NN, IN, B-NP
NN, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, POS, B-NP
NNP, POS, JJ, B-NP
POS, JJ, NN, I-NP
JJ, NN, CC, I-NP
NN, CC, DT, O
CC, DT, JJS, B-NP
DT, JJS, NN, I-NP
JJS, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NN, B-NP
NN, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", VBD, O
",", VBD, CD, B-VP
VBD, CD, NN, B-NP
CD, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, ., I-NP
NN, ., NNP, O
., NNP, ",", B-ADVP
NNP, ",", NN, O
",", NN, IN, B-NP
NN, IN, NN, B-PP
IN, NN, JJ, B-NP
NN, JJ, NNS, I-NP
JJ, NNS, VBD, I-NP
NNS, VBD, CD, B-VP
VBD, CD, NN, B-NP
CD, NN, :, I-NP
NN, :, ``, O
:, ``, DT, O
``, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, CD, B-PP
IN, CD, NNS, B-NP
CD, NNS, ",", I-NP
NNS, ",", "''", O
",", "''", DT, O
"''", DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, VBD, I-NP
NN, VBD, NNP, B-VP
VBD, NNP, NNP, B-NP
NNP, NNP, ., I-NP
NNP, ., IN, O
., IN, DT, B-PP
IN, DT, RB, B-NP
DT, RB, JJ, I-NP
RB, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, VBD, I-NP
NN, VBD, IN, B-VP
VBD, IN, NN, B-SBAR
IN, NN, NNS, B-NP
NN, NNS, VBP, I-NP
NNS, VBP, JJR, B-VP
VBP, JJR, NN, B-NP
JJR, NN, TO, I-NP
NN, TO, NNS, B-PP
TO, NNS, RB, B-NP
NNS, RB, IN, B-SBAR
RB, IN, PRP, I-SBAR
IN, PRP, MD, B-NP
PRP, MD, VB, B-VP
MD, VB, NNS, I-VP
VB, NNS, POS, B-NP
NNS, POS, NNS, B-NP
POS, NNS, ., I-NP
NNS, ., ``, O
., ``, DT, O
``, DT, MD, B-NP
DT, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, ",", I-NP
NN, ",", WDT, O
",", WDT, MD, B-NP
WDT, MD, RB, B-VP
MD, RB, VB, I-VP
RB, VB, JJ, I-VP
VB, JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, ",", I-NP
NNS, ",", "''", O
",", "''", DT, O
"''", DT, NN, B-NP
DT, NN, VBD, I-NP
NN, VBD, ., B-VP
VBD, ., DT, O
., DT, CD, B-NP
DT, CD, NN, I-NP
CD, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", DT, O
",", DT, JJS, B-NP
DT, JJS, NN, I-NP
JJS, NN, IN, I-NP
NN, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, JJ, B-NP
POS, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", VBZ, O
",", VBZ, VBG, B-VP
VBZ, VBG, TO, I-VP
VBG, TO, VB, I-VP
TO, VB, RB, I-VP
VB, RB, ",", B-PRT
RB, ",", CC, O
",", CC, NN, O
CC, NN, NNS, B-NP
NN, NNS, VBP, I-NP
NNS, VBP, VBG, B-VP
VBP, VBG, IN, I-VP
VBG, IN, IN, B-PRT
IN, IN, NN, B-PP
IN, NN, NNS, B-NP
NN, NNS, DT, I-NP
NNS, DT, IN, B-PP
DT, IN, NNP, I-PP
IN, NNP, NNP, B-NP
NNP, NNP, ., I-NP
NNP, ., NN, O
., NN, NNS, B-NP
NN, NNS, VBP, I-NP
NNS, VBP, VBG, B-VP
VBP, VBG, TO, I-VP
VBG, TO, VB, I-VP
TO, VB, JJ, I-VP
VB, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., JJ, O
., JJ, NNS, B-NP
JJ, NNS, VBP, I-NP
NNS, VBP, VBG, B-VP
VBP, VBG, TO, I-VP
VBG, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, VBN, B-NP
NNS, VBN, IN, B-VP
VBN, IN, NNS, B-PP
IN, NNS, WP, B-NP
NNS, WP, VBP, B-NP
WP, VBP, RB, B-VP
VBP, RB, VB, I-VP
RB, VB, PRP$, I-VP
VB, PRP$, NNS, B-NP
PRP$, NNS, ., I-NP
NNS, ., JJ, O
., JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, VBP, I-NP
NNS, VBP, TO, B-VP
VBP, TO, VB, I-VP
TO, VB, NNS, I-VP
VB, NNS, JJ, B-NP
NNS, JJ, IN, B-ADJP
JJ, IN, JJR, B-PP
IN, JJR, NNS, B-NP
JJR, NNS, NNS, I-NP
NNS, NNS, ., I-NP
NNS, ., CC, O
., CC, NN, O
CC, NN, NNS, B-NP
NN, NNS, VBP, I-NP
NNS, VBP, RB, B-VP
VBP, RB, VBG, I-VP
RB, VBG, DT, I-VP
VBG, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, VBG, B-PP
IN, VBG, DT, B-VP
VBG, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, NN, I-NP
NN, NN, ., I-NP
NN, ., ``, O
., ``, NN, O
``, NN, VBZ, B-NP
NN, VBZ, IN, B-VP
VBZ, IN, IN, B-PP
IN, IN, NNS, B-PP
IN, NNS, ",", B-NP
NNS, ",", "''", O
",", "''", VBZ, O
"''", VBZ, NNP, B-VP
VBZ, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, ., I-NP
NNS, ., VBZ, O
., VBZ, NNP, B-VP
VBZ, NNP, NNP, B-NP
NNP, NNP, ",", I-NP
NNP, ",", DT, O
",", DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, NNS, B-PP
IN, NNS, WDT, B-NP
NNS, WDT, VBP, B-NP
WDT, VBP, TO, B-VP
VBP, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, CC, B-NP
NN, CC, NN, I-NP
CC, NN, NNS, I-NP
NN, NNS, :, I-NP
NNS, :, ``, O
:, ``, PRP, O
``, PRP, VBZ, B-NP
PRP, VBZ, IN, B-VP
VBZ, IN, IN, B-SBAR
IN, IN, DT, I-SBAR
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, JJ, B-VP
VBZ, JJ, JJ, B-ADJP
JJ, JJ, RB, I-ADJP
JJ, RB, ., B-ADVP
RB, ., "''", O
., "''", DT, O
"''", DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, VBN, B-VP
VBZ, VBN, DT, I-VP
VBN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, JJ, I-VP
VB, JJ, NN, B-NP
JJ, NN, NN, I-NP
NN, NN, IN, I-NP
NN, IN, NN, B-PP
IN, NN, NNS, B-NP
NN, NNS, ",", I-NP
NNS, ",", DT, O
",", DT, NN, B-NP
DT, NN, WDT, I-NP
NN, WDT, VBZ, B-NP
WDT, VBZ, JJ, B-VP
VBZ, JJ, TO, B-ADJP
JJ, TO, VB, B-VP
TO, VB, IN, I-VP
VB, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, ., I-NP
NNP, ., JJ, O
., JJ, JJ, B-NP
JJ, JJ, ``, I-NP
JJ, ``, NNS, I-NP
``, NNS, "''", I-NP
NNS, "''", IN, O
"''", IN, DT, B-PP
IN, DT, CD, B-NP
DT, CD, NN, I-NP
CD, NN, VBP, I-NP
NN, VBP, VBN, B-VP
VBP, VBN, VBN, I-VP
VBN, VBN, IN, I-VP
VBN, IN, RB, B-ADVP
IN, RB, ., I-ADVP
RB, ., DT, O
., DT, NNP, B-NP
DT, NNP, RB, I-NP
NNP, RB, VBD, B-ADVP
RB, VBD, VBG, B-VP
VBD, VBG, DT, I-VP
VBG, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, VBN, I-NP
NN, VBN, IN, B-VP
VBN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, DT, B-PP
IN, DT, JJS, B-NP
DT, JJS, NNS, I-NP
JJS, NNS, ., I-NP
NNS, ., DT, O
., DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, VBD, I-NP
NNP, VBD, TO, B-VP
VBD, TO, VB, I-VP
TO, VB, DT, I-VP
VB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, ",", I-NP
NNS, ",", CC, O
",", CC, RB, O
CC, RB, TO, B-ADVP
RB, TO, VB, B-VP
TO, VB, JJ, I-VP
VB, JJ, NN, B-ADVP
JJ, NN, VBG, B-NP
NN, VBG, IN, I-NP
VBG, IN, NNS, B-PP
IN, NNS, ",", B-NP
NNS, ",", DT, O
",", DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, WDT, I-NP
NN, WDT, VBZ, B-NP
WDT, VBZ, NN, B-VP
VBZ, NN, TO, B-NP
NN, TO, VB, B-VP
TO, VB, VBN, I-VP
VB, VBN, IN, I-VP
VBN, IN, IN, B-PRT
IN, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., IN, O
., IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", DT, O
",", DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, RB, I-NP
NN, RB, VBD, B-ADVP
RB, VBD, IN, B-VP
VBD, IN, NN, B-PP
IN, NN, IN, B-NP
NN, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, NNS, B-PP
IN, NNS, IN, B-NP
NNS, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, IN, I-NP
NNS, IN, NNS, B-PP
IN, NNS, CC, B-NP
NNS, CC, NNS, I-NP
CC, NNS, ",", I-NP
NNS, ",", IN, O
",", IN, WP, B-PP
IN, WP, NN, B-NP
WP, NN, NN, B-NP
NN, NN, NNP, I-NP
NN, NNP, NNP, I-NP
NNP, NNP, NNP, I-NP
NNP, NNP, (, I-NP
NNP, (, NNP, O
(, NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, ., B-NP
NNP, ., ), O
., ), VBZ, O
), VBZ, DT, B-VP
VBZ, DT, ``, B-NP
DT, ``, VBG, I-NP
``, VBG, NN, I-NP
VBG, NN, "''", I-NP
NN, "''", IN, O
"''", IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, ., I-NP
NN, ., DT, O
., DT, NNS, B-NP
DT, NNS, MD, I-NP
NNS, MD, VB, B-VP
MD, VB, IN, I-VP
VB, IN, NN, B-PP
IN, NN, NNS, B-NP
NN, NNS, TO, I-NP
NNS, TO, JJ, B-PP
TO, JJ, NNS, B-NP
JJ, NNS, TO, I-NP
NNS, TO, JJ, B-PP
TO, JJ, NNS, B-NP
JJ, NNS, ., I-NP
NNS, ., TO, O
., TO, VB, B-VP
TO, VB, JJ, I-VP
VB, JJ, ",", B-ADJP
JJ, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, NNP, I-NP
JJ, NNP, ",", I-NP
NNP, ",", VBG, O
",", VBG, DT, B-VP
VBG, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, NN, I-NP
NN, NN, ",", I-NP
NN, ",", JJ, O
",", JJ, NNP, B-NP
JJ, NNP, VBD, I-NP
NNP, VBD, RB, B-VP
VBD, RB, DT, B-ADVP
RB, DT, IN, B-NP
DT, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, WDT, I-NP
NNS, WDT, VBD, B-NP
WDT, VBD, VBN, B-VP
VBD, VBN, IN, I-VP
VBN, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, NNP, I-NP
NNP, NNP, NN, I-NP
NNP, NN, ., I-NP
NN, ., CC, O
., CC, NNS, O
CC, NNS, IN, B-NP
NNS, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, VBP, I-NP
NNS, VBP, IN, B-VP
VBP, IN, DT, B-SBAR
IN, DT, VBG, B-NP
DT, VBG, VBD, I-NP
VBG, VBD, JJ, B-VP
VBD, JJ, ., B-ADJP
JJ, ., JJ, O
., JJ, NNS, B-NP
JJ, NNS, MD, I-NP
NNS, MD, VB, B-VP
MD, VB, VBG, I-VP
VB, VBG, RB, I-VP
VBG, RB, WDT, B-ADVP
RB, WDT, VBP, B-NP
WDT, VBP, VBN, B-VP
VBP, VBN, TO, I-VP
VBN, TO, VB, I-VP
TO, VB, NN, I-VP
VB, NN, IN, B-NP
NN, IN, DT, B-PP
IN, DT, NN, B-NP
DT, NN, NNS, I-NP
NN, NNS, ",", I-NP
NNS, ",", VBG, O
",", VBG, DT, B-PP
VBG, DT, DT, B-NP
DT, DT, NNS, I-NP
DT, NNS, CC, I-NP
NNS, CC, NNP, I-NP
CC, NNP, NNS, I-NP
NNP, NNS, ., I-NP
NNS, ., ``, O
., ``, EX, O
``, EX, VBZ, B-NP
EX, VBZ, RB, B-VP
VBZ, RB, DT, O
RB, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-SBAR
IN, DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, CD, B-NP
DT, CD, NN, I-NP
CD, NN, VBZ, I-NP
NN, VBZ, VBN, B-VP
VBZ, VBN, VBN, I-VP
VBN, VBN, DT, I-VP
VBN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", "''", O
",", "''", VBZ, O
"''", VBZ, NNP, B-VP
VBZ, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, (, I-NP
NNP, (, NNP, O
(, NNP, ",", B-NP
NNP, ",", NNP, O
",", NNP, ., B-NP
NNP, ., ), O
., ), ., O
), ., ``, O
., ``, PRP, O
``, PRP, MD, B-NP
PRP, MD, VB, B-VP
MD, VB, DT, I-VP
VB, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, IN, I-NP
NN, IN, PRP, B-PP
IN, PRP, ., B-NP
PRP, ., "''", O
., "''", ``, O
"''", ``, PRP, O
``, PRP, VBZ, B-NP
PRP, VBZ, RB, B-VP
VBZ, RB, TO, B-ADVP
RB, TO, JJ, B-PP
TO, JJ, NN, B-NP
JJ, NN, IN, I-NP
NN, IN, DT, B-PP
IN, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", "''", O
",", "''", VBZ, O
"''", VBZ, NNP, B-VP
VBZ, NNP, NNP, B-NP
NNP, NNP, NNP, I-NP
NNP, NNP, IN, I-NP
NNP, IN, NNP, B-PP
IN, NNP, ",", B-NP
NNP, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, NNP, I-NP
JJ, NNP, IN, I-NP
NNP, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, ., I-NP
NNP, ., VBG, O
., VBG, TO, B-VP
VBG, TO, DT, B-PP
TO, DT, NNS, B-NP
DT, NNS, IN, I-NP
NNS, IN, DT, B-PP
IN, DT, NNP, B-NP
DT, NNP, CC, I-NP
NNP, CC, NNP, I-NP
CC, NNP, JJ, I-NP
NNP, JJ, NNS, I-NP
JJ, NNS, ",", I-NP
NNS, ",", PRP, O
",", PRP, VBZ, B-NP
PRP, VBZ, ",", B-VP
VBZ, ",", ``, O
",", ``, JJ, O
``, JJ, NN, B-NP
JJ, NN, ",", I-NP
NN, ",", DT, O
",", DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, VBZ, I-NP
NN, VBZ, VBG, B-VP
VBZ, VBG, TO, I-VP
VBG, TO, VB, I-VP
TO, VB, RB, I-VP
VB, RB, VBG, B-ADVP
RB, VBG, IN, B-VP
VBG, IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, NN, B-NP
POS, NN, ",", I-NP
NN, ",", IN, O
",", IN, NNP, B-PP
IN, NNP, NNP, B-NP
NNP, NNP, POS, I-NP
NNP, POS, NN, B-NP
POS, NN, ., I-NP
NN, ., "''", O
., "''", JJ, O
"''", JJ, NNS, B-NP
JJ, NNS, VBP, I-NP
NNS, VBP, RB, B-VP
VBP, RB, VBG, I-VP
RB, VBG, DT, I-VP
VBG, DT, JJ, B-NP
DT, JJ, ., I-NP
JJ, ., RB, O
., RB, JJ, B-NP
RB, JJ, NN, I-NP
JJ, NN, ",", I-NP
NN, ",", DT, O
",", DT, NNP, B-NP
DT, NNP, NNPS, I-NP
NNP, NNPS, CC, I-NP
NNPS, CC, NNP, I-NP
CC, NNP, NN, I-NP
NNP, NN, VBD, I-NP
NN, VBD, DT, B-VP
VBD, DT, JJ, B-NP
DT, JJ, NN, I-NP
JJ, NN, TO, I-NP
NN, TO, VB, B-VP
TO, VB, DT, I-VP
VB, DT, NNS, B-NP
DT, NNS, IN, I-NP
NNS, IN, JJ, B-PP
IN, JJ, NNS, B-NP
JJ, NNS, ",", I-NP
NNS, ",", NNS, I-NP
",", NNS, CC, I-NP
NNS, CC, NN, I-NP
CC, NN, NNS, I-NP
NN, NNS, WP, I-NP
NNS, WP, VBP, B-NP
WP, VBP, TO, B-VP
VBP, TO, VB, I-VP
TO, VB, PRP$, I-VP
VB, PRP$, JJ, B-NP
PRP$, JJ, JJ, I-NP
JJ, JJ, NNS, I-NP
JJ, NNS, ., I-NP
NNS, ., ``, O
., ``, PRP, O
``, PRP, VBZ, B-NP
PRP, VBZ, DT, B-VP
VBZ, DT, NN, B-NP
DT, NN, NN, I-NP
NN, NN, CC, I-NP
NN, CC, DT, O
CC, DT, NN, B-NP
DT, NN, VBZ, I-NP
NN, VBZ, RB, B-VP
VBZ, RB, JJ, B-ADJP
RB, JJ, ",", I-ADJP
JJ, ",", "''", O
",", "''", VBD, O
"''", VBD, CD, B-VP
VBD, CD, NN, B-NP
CD, NN, NN, I-NP
NN, NN, WP, I-NP
NN, WP, VBD, B-NP
WP, VBD, VBG, B-VP
VBD, VBG, DT, I-VP
VBG, DT, NNS, B-NP
DT, NNS, ., I-NP
NNS, ., JJ, O
., JJ, NNS, B-NP
JJ, NNS, IN, I-NP
NNS, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, ",", I-NP
NN, ",", CD, O
",", CD, IN, B-NP
CD, IN, DT, B-PP
IN, DT, NNS, B-NP
DT, NNS, VBD, I-NP
NNS, VBD, JJS, B-VP
VBD, JJS, IN, B-ADVP
JJS, IN, DT, B-PP
IN, DT, CD, B-NP
DT, CD, NN, I-NP
CD, NN, ",", I-NP
NN, ",", VBP, O
",", VBP, VBN, B-VP
VBP, VBN, ., I-VP
VBN, ., DT, O
., DT, NN, B-NP
DT, NN, IN, I-NP
NN, IN, JJ, B-PP
IN, JJ, NN, B-NP
JJ, NN, NNS, I-NP
NN, NNS, JJ, I-NP
NNS, JJ, IN, B-PP
JJ, IN, DT, I-PP
IN, DT, JJ, B-NP
